Sample,LiFSI,LiDFOB,LiBF4,DME,DEE,DMP,DEGDME,TTE,BTFE,BDE,HFE,TFEPE,B,TFMOB,LiPO2F2,LiNO3,FEC,VC
128,1,,,,1.2,,,,,,,,,2.6,,,,
304,1,,,,,,1.8,,,,,,,2.8,,,,
332,1,,,,,,2.0,2.0,,,,,,,,,,
655,1,,,,,,1.8,,,,,,3.0,,,,,
719,1,,,,,,1.4,,,,2.8,,,,,,,
1174,1,,,,0.6,,1.0,,,,,,,3.0,,,,
1214,1,,,,0.6,,1.0,2.2,,,,,,,,,,
2057,1,,,0.6,,0.8,,,,,2.2,,,,,,,
2738,1,,,0.6,1.0,,,2.6,,,,,,,,,,
3138,1,,,,0.4,0.6,0.6,2.6,,,,,,,,,,
3229,1,,,0.6,0.6,,0.4,,2.4,,,,,,,,,
3240,1,,,0.4,0.6,,0.4,,,,2.2,,,,,,,
3323,1,,,,0.6,0.4,0.4,,,,,,2.8,,,,,
3392,1,,,0.4,0.4,0.6,,,2.8,,,,,,,,,
3667,1,,,0.4,,0.6,0.4,,,,,,,3.0,,,,
3877,1,,,0.4,0.6,,0.6,,,3.0,,,,,,,,
4018,1,,,0.6,0.4,0.6,,,,,,,2.8,,,,,
4441,1,,,0.5,0.3,0.3,0.5,,,,,,2.0,,,,,
4456,1,,,0.5,0.3,0.5,0.3,2.8,,,,,,,,,,
4733,1,,,0.5,0.5,0.5,0.5,2.6,,,,,,,,,,
4884,1,,,,1.0,,,,1.2,,,,1.2,,,,,
4962,1,,,,1.0,,,,1.4,,1.0,,,,,,,
5156,1,,,,1.4,,,,,,1.2,1.4,,,,,,
5605,1,,,,,,2.0,,,1.4,,,,1.0,,,,
5680,1,,,,,,1.2,,1.0,,1.0,,,,,,,
6002,1,,,,,,2.0,1.4,,,,,1.0,,,,,
6017,1,,,,,,1.4,1.0,,1.0,,,,,,,,
6615,1,,,2.0,,,,,,,,1.0,1.0,,,,,
6878,1,,,,,1.0,,,,1.4,,,1.0,,,,,
7561,1,,,,,1.4,,1.2,,,,,,1.0,,,,
8058,1,,,,1.0,,0.8,,,,,,1.4,1.0,,,,
8150,1,,,,0.8,,1.0,,,1.4,1.4,,,,,,,
8823,1,,,,0.8,,1.0,1.2,,,,,1.4,,,,,
8991,1,,,,0.6,,1.0,1.0,,,,,,1.0,,,,
10233,1,,,,0.6,0.6,,1.0,,,,,1.2,,,,,
10722,1,,,1.0,1.0,,,,,,,,1.0,1.0,,,,
10871,1,,,1.0,0.6,,,,,1.0,1.2,,,,,,,
11158,1,,,0.6,0.6,,,,1.0,1.2,,,,,,,,
12325,1,,,0.8,1.0,,,1.2,,,,1.0,,,,,,
12448,1,,,0.6,,,0.8,,,,,,1.0,1.0,,,,
13076,1,,,0.6,,,1.0,,1.4,,1.4,,,,,,,
13229,1,,,0.6,,,0.8,,1.2,,,,,1.0,,,,
13760,1,,,0.8,,,0.6,,,,,1.2,,1.4,,,,
13861,1,,,0.8,,,1.0,1.2,,,,,1.0,,,,,
14084,1,,,0.6,,,1.0,1.0,,,,1.0,,,,,,
14277,1,,,0.8,,0.8,,,,,,,1.0,1.2,,,,
14332,1,,,0.6,,0.8,,,,1.0,,,1.2,,,,,
14669,1,,,0.6,,0.8,,,1.4,,,,1.2,,,,,
14717,1,,,1.0,,0.8,,,1.0,,,,1.2,,,,,
14759,1,,,0.6,,1.0,,,1.2,1.2,,,,,,,,
14935,1,,,,0.4,0.6,0.4,1.2,,,,,,1.2,,,,
15220,1,,,0.6,0.6,0.4,,,1.2,,,1.2,,,,,,
16016,1,,,,0.4,0.4,0.4,,,1.2,,,1.2,,,,,
16282,1,,,,0.4,0.4,0.4,,,,,1.0,,1.0,,,,
16567,1,,,0.6,0.4,0.4,,1.0,,,1.0,,,,,,,
16583,1,,,0.6,0.6,,0.6,,1.2,,1.0,,,,,,,
16598,1,,,,0.4,0.4,0.4,1.2,,1.4,,,,,,,,
16670,1,,,0.6,,0.6,0.6,,,,1.0,,1.2,,,,,
16944,1,,,0.5,0.5,0.3,0.3,,,,,1.0,1.4,,,,,
17353,1,,,0.5,0.5,0.5,0.3,1.2,,,1.4,,,,,,,
18120,1,,,,,1.4,,,1.0,,0.8,0.8,,,,,,
18206,1,,,,,1.2,,,0.8,,1.0,,0.8,,,,,
18349,1,,,,,1.0,,,,,,0.8,0.8,0.8,,,,
19157,1,,,,1.6,,,,0.8,0.8,1.0,,,,,,,
19226,1,,,2.0,,,,,,,0.8,,0.8,1.0,,,,
19372,1,,,1.2,,,,0.8,,,,0.8,1.0,,,,,
19440,1,,,,1.8,,,,1.0,,,,1.0,1.0,,,,
19533,1,,,2.0,,,,,,0.8,1.0,,1.0,,,,,
19677,1,,,,1.2,,,,0.8,,,,1.0,1.0,,,,
20018,1,,,1.4,,,,,1.0,0.8,1.0,,,,,,,
20904,1,,,,,1.0,,0.8,,1.0,,,1.0,,,,,
20977,1,,,,,1.8,,,0.8,0.8,1.0,,,,,,,
21006,1,,,,,,1.8,,0.8,,,,1.0,1.0,,,,
21718,1,,,0.8,0.6,,,0.8,,,,,0.8,0.8,,,,
22023,1,,,0.6,,,1.0,0.8,,,0.8,,,0.8,,,,
22231,1,,,,0.6,,1.0,,0.8,,0.8,0.8,,,,,,
22284,1,,,1.0,,,0.8,,,,1.0,,1.0,0.8,,,,
22294,1,,,0.8,,0.8,,,,,1.0,,0.8,1.0,,,,
23725,1,,,1.0,,0.6,,0.8,,,,0.8,0.8,,,,,
25321,1,,,1.0,,,0.8,0.8,,0.8,,,1.0,,,,,
25596,1,,,1.0,,1.0,,,1.0,,1.0,,0.8,,,,,
25892,1,,,0.8,,0.8,,,0.8,1.0,1.0,,,,,,,
26320,1,,,0.6,,0.8,,1.0,,1.0,,,,0.8,,,,
27470,1,,,,0.6,,1.0,,1.0,,0.8,1.0,,,,,,
28245,1,,,0.6,0.8,,,0.8,,,0.8,,,1.0,,,,
29549,1,,,1.0,,,0.6,,1.0,,1.0,0.8,,,,,,
30282,1,,,,0.4,0.6,0.4,0.8,,0.8,,0.8,,,,,,
30316,1,,,0.6,0.6,,0.6,,1.0,0.8,1.0,,,,,,,
30441,1,,,0.6,0.6,0.4,,,0.8,,,0.8,0.8,,,,,
31514,1,,,0.4,,0.4,0.6,,,0.8,,,0.8,1.0,,,,
32160,1,,,0.6,,0.6,0.6,,,,,1.0,1.0,0.8,,,,
32712,1,,,0.6,0.6,0.4,,,0.8,,0.8,,,0.8,,,,
32922,1,,,0.4,0.6,0.4,,,0.8,,0.8,,0.8,,,,,
34928,1,,,0.3,0.3,0.5,0.5,,,1.0,0.8,0.8,,,,,,
34944,1,,,0.3,0.5,0.5,0.3,0.8,,,,,1.0,0.8,,,,
35164,1,,,0.3,0.5,0.5,0.5,1.0,,,,1.0,,0.8,,,,
35814,1,,,,,,1.6,0.7,0.7,0.7,0.7,,,,,,,
36254,1,,,,,1.4,,0.5,0.7,,0.7,0.7,,,,,,
36549,1,,,,1.2,,,,,,0.7,0.7,0.5,0.7,,,,
36805,1,,,,,1.6,,0.7,0.5,,,0.5,0.5,,,,,
37042,1,,,,,1.8,,,,0.5,0.5,,0.5,0.5,,,,
38139,1,,,,,,1.4,,,0.7,,0.7,0.5,0.5,,,,
38393,1,,,,,,1.8,,,,0.7,0.7,0.5,0.7,,,,
40039,1,,,0.7,0.8,,,0.7,,,0.7,0.5,0.7,,,,,
41417,1,,,0.8,,,0.5,0.7,0.5,0.5,,0.7,,,,,,
41825,1,,,,0.8,0.8,,0.5,0.7,0.5,,,,0.7,,,,
42549,1,,,0.7,,0.8,,,0.7,0.5,,0.7,,0.7,,,,
42850,1,,,,0.7,,0.7,0.7,0.7,0.5,0.5,,,,,,,
42948,1,,,,0.8,0.8,,0.7,,,0.5,0.7,,0.7,,,,
43099,1,,,1.0,,,0.7,,,0.5,,0.5,0.5,0.5,,,,
44448,1,,,0.5,,0.8,,,,0.7,0.7,,0.7,0.5,,,,
44453,1,,,,,0.5,1.0,,0.5,0.5,0.5,0.7,,,,,,
45100,1,,,1.0,,,1.0,0.5,0.7,0.7,,,,0.7,,,,
45932,1,,,,0.5,0.8,,0.5,0.5,,0.7,0.5,,,,,,
46633,1,,,,,1.0,0.7,0.5,,0.7,,0.5,,0.7,,,,
50642,1,,,,0.7,,1.0,,0.7,0.5,0.5,,0.5,,,,,
51736,1,,,,0.5,0.5,0.7,0.5,0.7,,0.5,,,0.7,,,,
